국명(표준명·유통명),학명,영명,식물 특징,물주기 방법,유지 관리 포인트,과명,적절한 온도,적절한 광선,적절한 습도,효과,주의할 병충해,관리난이도,독성주의,Tip,문제 발생시,기타
팔레놉시스(호접란),Phalaenopsis spp.,Moth Orchid,"호접란으로 알려진 팔레놉시스는 영어이름도 Moth Orchid 로 꽃의 외형이 호랑나비를 닮아 유래하였다. 흰색, 노란색, 분홍색, 혼합색 등 다양한 꽃 색과 혁질의 잎이 넓고 두껍 다. 줄기가 짧은 단축성(短軸性) 식물이고, 모든 잎이 하나의 줄기에서 나온다. 서양난을 처음 키우는 사람도 쉽게 키울 수 있을 만큼 실내환경에 잘 적응하고, 꽃의 개화기가 길다.","봄~가을에는 토양표면이 말랐을 때 충분히 물을 주고, 겨울 에는 화분흙이 대부분 말랐을 때 충분히 물을 준다. 분무를 자주하는 것이 좋다.","물을 너무 많이 주면 곰팡이에 의해 병이 발병하고, 공기가 너무 건조하면 해충이 발생할 수 있다. 개화기가 끝난 다음에 첫 번째 꽃이 나와 있는 마디 바로 밑부분을 잘라낸다. 주·야간 온도 의 차이가 5℃이상, 수일동안 지속되어야 또다시 꽃이 핀다. 겨울~초여름에 핀 꽃이 피고난 후에 줄기를 2~3마디 남기고 자른다. 밤에 온도차이가 나는 곳에서 일정기간을 지내고 나면 또다시 꽃을 피우게 된다.",난초과,21~25℃ (최저 13℃),양지~반양지,보통,"포름알데히드 제거, 상대습도 증가",깍지벌레,하,,"난초과 식물은 다육식물, 브로멜리아류와 마찬가지 로 밤에 이산화탄소를 흡수하므로 햇빛이 잘 드는 침 실에 두면 좋다. 낮에 햇빛을 많이 받을수록 이산화탄 소 고정능력이 상승한다. 팔레놉시스는 난초과 식물 중에서 밤에 이산화탄소를 흡수하는 CAM 성질을 가 장 크게 갖고 있는 식물이다.","난초류(Orchids) 문제 발생시 ▶ 옅은 갈색의 반점이 있는 잎이 보일 때: 1) 반점이 딱딱하고 건조한 것은 햇빛에 그을린 경우. 식물을 그늘진 곳에 배치 2) 반점이 무른 것은 곰팡이가 생겼을 경우로 병든 부분을 잘라줌 ▶ 식물 성장이 저해될 때: 1) 빛이 충분한 장소에 배치 2) 빛은 충분하나 물주기가 잘못되면 생장에 문제가 생김 ▶ 잎에 곰팡이가 생길 때: 온도가 낮고 습기가 많아 물이 빠르게 증발하지 않으면 곰팡이의 원인이 될 수 있음 ▶ 꽃이 없을 때: 1) 부적절한 재배 방법으로 생장이 저해될 경우 2) 식물은 건강하지만 빛이 부족할 경우 Tip 난초류(Orchids)에 사용하는 토양: 난초류의 뿌리는 통기성이 좋아야 하므로 수태, 난석, 굵은 마사토 등으로 식재한다. 착생난의 경우에는 바크, 수태, 코코넛섬유 등을 사용한다(38쪽).",
나도 풍란,Sedirea japonica,Nadopungran,"대엽 풍란인 나도풍란은 우리나라 제주도와 남해안을 중심 으로 도서지방에 자생하는데 습도가 높고 통풍이 잘 되는 곳 에서 잘 자란다. 흰 꽃은 4~6월에 피며, 개화기간이 15~20일 정도로 길며, 꽃의 향기가 진하고 좋다. 착생난으로 나무의 줄기가 암벽에 붙어 살아가고 습도가 높은 곳에 뿌리가 노 출되어야 잘 자란다. 일본에서 많은 개량품종이 개발되었고, 일부가 우리나라에도 들어왔다.","3~6월까지는 물을 충분히 주고 10월부터는 물을 줄여 꽃눈 이 잘 형성되도록 한다. 여름철에는 습도가 80~90%정도가 적당하고, 겨울철에는 50%가 적당하다.","공중습도가 건조할 때는 자주 분무해 주고, 습할 때는 환기 를 자주 해준다.",난초과,21~25℃ (최저 7℃),반양지 (여름에 차광 필요),높은편,"포름알데히드 제거, 상대습도 증가","응애, 깍지벌레",중,,"나도풍란은 착생란이므로 화분에 심어도 좋지만 수태, 돌, 고목 등에 부착하여 뿌리가 노출 되어도 멋있다. 다른 난류에 비해 크기, 잎 면적이 작은 편이지만 포름알데히드 제거능력이 뛰어나고 상대습도 증가량도 우수하다. 침실 또는 거실에 두면 새집증후군을 없애는데 도움이 된다.",,
파키라,Pachira aquatica,"Provision tree, Money tree","두꺼운 줄기에서 뻗은 가느다란 가지가 특징인 파키라는 줄 기는 벽오동처럼 생겼으나 밑 부분은 갈색의 곤봉처럼 생 겼다. 꽃은 크고 아름다워 감상하기에 좋고, 열매는 땅콩 맛이 나 식용할 수 있다. 외국에서는 Money tree라고 부르며, 잎과 꽃은 채소처럼 식용한다. 씨뿌리기와 꺾꽂이로 번식하는데, 줄기를 자르면 여러 개의 새순이 나오기 때문에 1∼2개의 줄기에 여러 개의 작은 줄기 와 잎을 가꿔 상품가치를 높일 수 있다.","봄~가을에는 토양 표면이 말랐을 때 충분히 물을 주고, 겨울 에는 화분흙이 대부분 말랐을 때 충분히 물을 준다.",과습에 주의한다. 반음지를 좋아하고 배수가 잘 되는 땅에서 잘 자란다. 건조하지 않도록 주의해야 한다.,물밤나무과,20~30℃ (최저 13℃),반양지,보통,"미세먼지 제거, 포름알데히드 제거, 이산화탄소 제거","진딧물, 깍지벌레",중,,이산화탄소를 없애는 능력이 뛰어나 공기정화 능력이 좋아 아파트의 베란다 또는 거실에 서 키우면 좋다.,,
테이블야자,Collinia elegans,Parlour palm,"영국의 빅토리아 시대부터 인기있는 식물로 관리가 쉽고 실내 환경에 대한 적응력이 좋아 잘 자란다. 원산지에서는 1~2m까지도 자라지만, '책상 위에 올려놓고 키운다'하여 탁 상야자, 테이블야자라고 부른다. 습도조절 능력도 뛰어나고 벤젠, 포름알데히드 등 화학물질을 제거하는 능력이 좋아 공 기정화식물로 적절하다.",잎에 물을 종종 분무한다. 봄~가을까지는 흙을 촉촉하게 유 지하고 겨울은 화분흙이 대부분 말랐을 때 충분히 물을 준 다.,가지치기를 하지 않으면 식물이 웃자라 주변 식물 생장에 영 향을 준다. 직사광선은 피하도록 한다. 여름에 물로 잎의 먼지를 닦아주면 좋다.,야자과,10~27℃ (최저 10℃),"반양지, 반음지",낮거나 보통,"포름알데히드 제거, 공기정화","깍지벌레, 가루깍지벌레",하,,"크기가 작지만 섬세한 외모와 나무형상을 가지고 있어 테라리움, 디시가든 등 식물 모아심 기에 많이 사용한다.",,
아레카야자,Dypsis lutescens,"Golden cane palm, Areca Palm, Butterfly palm","시원하게 뻗은 큰 잎이 곡선과 직선으로 아름답게 조화되어 있고 회오리 다발처럼 보이는 긴 줄기에서 나온 아치모양의 깃털같은 잎들이 싱그럽다. 생육이 빠르며 실내환경에 대한 적응성이 매우 높다. 줄기가 노란색을 나타내는 것이 원래 특성이고, 잎 끝이 갈 변하는 것이 정상이다. 1.8m 크기의 아레카야자가 하루 동안 약 1리터의 물을 증산 작용으로 방출하고, 공기 속에 있는 화학적인 독소들을 제거 한다. 미국 항공 우주국(NASA)가 선정한 환경친화적인 식 물 1위로 선정되었다.",수돗물 염소피해에 주의한다. 잎에 자주 분무하여 건조하지 않게 하고 화분흙이 습하지 않게 주의한다.,"직사광선에 약해 잎에 손상이 가기 쉬우므로 직사광선을 피 한다. 가지치기하지 않으면 웃자라 주변 식물의 생장에 영 향을 준다. 체내에 염분이 생기면 특정가지로 축적하여 마르는 특성이 있는데, 바로 제거해 주는 것이 좋다. 수직정원에 식재할 경우 통풍을 자주 시켜줘야 하므로 공조 기가 항상 틀어져 있는 상태를 유지해야 한다. 잎에 먼지가 쌓여 기공을 막으면 공기정화능력이 약해지므 로 샤워기로 물을 뿌려주거나 젖은 천이나 티슈로 닦아준다. 봄~가을 성장기에 2~3차례 액비를 준다.",야자과,18~24℃ (최저 13℃),반양지,보통,"상대습도 증가, 음이온 발생, 공기정화","응애, 깍지벌레",하,,"가정, 사무실, 상업 공간 등 많이 이용되는데 넓은 공간에 잘 어울린다.",,
관음죽,Rhapis excelsa,"Fan palm Miniature, Bamboo palm, Lady palm","원산지가 중국이지만 관음죽의 식물명은 일본에 있는 관음 산에서 기원되었고 일본을 거쳐 유럽으로 전파되었다. 잎은 윤기있고 끝이 톱니바퀴 형태로 갈라져 독특하다. 성장이 느 려서 관리하기도 쉽고, 병충해도 잘 생기지 않으며 공기정 화 효과도 탁월하다. 포기나누기로 번식이 가능하다. 번식 시기는 5~6월이 좋고, 작업 후에는 어두운 곳에서 적응하도록 한다.","봄~여름에는 물을 넉넉하게 주고, 겨울철 따뜻하고 건조한 실내에서는 물을 더 자주 준다.",직사광선을 받으면 잎이 노랗게 변할 수 있으므로 직사광선 을 피한다. 염분이나 무기양분이 잎 끝에 축적되어 갈색으로 변하면 그 부분만 잘라준다.,야자과,16~21℃ (최저 10℃),"반양지, 음지",보통,"포름알데히드 제거, 암모니아 흡수, 음이온 발생, 상대습도 증가","응애, 병충해에 강함",하,,휘발성 화학물질뿐 아니라 특히 암모니아를 잘 흡수하기 때문에 빛이 들어오는 화장실에 두면 좋다.,야자류(Palms) 문제 발생시 ▶ 잎 끝이 갈변할 때: 1) 공기가 건조할 경우. 기온이 높을 때 주기적으로 분무 2) 물을 적게 줄 경우 3) 기온이 낮을 경우 4) 접촉에 의한 손상 ▶ 잎이 노랗게 변할 때: 물을 적게 주었을 경우 (여름에 뿌리가 마르지 않게 함) ▶ 잎에 갈색 반점이 나타날 때: 물을 지나치게 주거나 갑작스럽게 찬공기를 접하면 발생. 감염된 잎을 제거하고 생장 환경 을 개선함 ▶ 갈변한 잎의 원인: 1) 가장 하단의 잎이 갈변하고 떨어지는 것은 자연스러운 현상이다. 이러한 잎은 절단하여 제거하는 것이 좋음 2) 물을 너무 많이 주면 식물체가 갈변과 동시에 썩을 수 있음,
에덴로소,Peperomia caperata rossa,Peperomia Rosso,"페페로미아 종류이며 주로 남미 아마존 부근이 원산지이다. 에덴로소는 잎 뒷면이 붉은 색을 띄고 전체적으로 특이한 무 늬와 질감으로 최근에 인기가 높아졌다. 반양지~반음지에 적당하며 한여름의 직사광선은 피하고, 배 수가 잘되는 흙이 좋다. 잎꽂이로도 번식이 잘된다.",흙이 마르면 충분히 물을 준다.,건조할 때 잎에 분무하여 습도를 유지하는 것이 중요하다.,후추과,18~25℃ (최저 10℃),"반양지, 반음지",높거나 보통,"공기정화, 이산화탄소 흡수","깍지벌레, 총채벌레",중,,,,
홍테 페페로미아,Peperomia obtusifolia,Peperomia red-edge,"페페로미아는 열대아메리카, 남부 플로리다에 자생하고, 약 1,000여 종이 있으며, 상업적으로 크기와 모양이 다양한 원 예품종들이 재배되어 실내식물로 인기가 많다. 많은 페페로미아 종류가 착생식물로 자란다. 자생지의 환경 에서 착생하는 성향으로 페페로미아는 높은 공중습도를 좋 아하며 토양수분이 적고 광도가 낮은 환경에서 잘 자란다. 페페로미아의 꽃은 잎 끝에 길쭉하고 가느다란 것이 줄기 같 은 생김새로 형성되어 독특하다. 추위에는 좀 약한 편이나, 번식이 용이하다.",과습에 약해서 특히 물주기에 주의해야 한다. 흙이 마르면 충분하게 물을 준다. 겨울에는 내한성을 높이기 위해 평소보 다 약간 건조하게 유지한다.,건조할 때 잎에 분무하여 습도를 유지하는 것이 중요하다.,후추과,18~25℃ (최저 10℃),"반양지, 반음지",높거나 보통,"포름알데히드 제거, 공기정화, 이산화탄소 흡수","총채벌레, 깍지벌레",하,,"생장이 더딘 편이라 디시 가든(Dish garden), 테라리엄(Terrarium) 에서 많이 사용한다.","페페로니아속(Peperomia) 문제 발생시 ▶ 잎 끝과 가장자리가 갈색일 때: 기온이 갑자기 떨어질 경우로 손상된 잎을 제거. 식물을 창가 같이 바람을 바로 접하거나 추운 환경, 그리고 건조한 곳에 두는 것을 피함 ▶ 잎이 갑자기 시들 때: 토양에 수분이 부족할 때이므로 물을 충분히 관수함 ▶ 겨울에 갑자기 잎이 떨어질 때: 온도가 매우 낮을 때. 최소 10℃ 이상으로 유지 ▶ 잎이 시들고 변색될 때. 줄기나 잎이 썩을 때 및 잎 하단에 목질화가 될 때: 겨울철에 물을 너무 많이 줬을 경우. 물주는 횟수와 물양을 줄임",
청페페,Peperomia obtusifolia,Baby rubber plant,"페페로미아는 열대아메리카, 남부 플로리다에 자생하고, 약 1,000여 종이 있으며, 상업적으로 크기와 모양이 다양한 원 예품종들이 재배되어 실내식물로 인기가 많다. 많은 페페로미아 종류가 착생식물로 자란다. 자생지의 환경 에서 착생하는 성향으로 페페로미아는 높은 공중습도를 좋 아하며 토양수분이 적고 광도가 낮은 환경에서 잘 자란다. 페페로미아의 꽃은 잎 끝에 길쭉하고 가느다란 것이 줄기 같 은 생김새로 형성되어 독특하다. 추위에는 좀 약한 편이나, 번식이 용이하다.",과습에 약해서 특히 물주기에 주의해야 한다. 흙이 마르면 충분하게 물을 준다. 겨울에는 내한성을 높이기 위해 평소보 다 약간 건조하게 유지한다.,건조할 때 잎에 분무하여 습도를 유지하는 것이 중요하다.,후추과,18~25℃ (최저 10℃),"반양지, 반음지",높거나 보통,"포름알데히드 제거, 공기정화, 이산화탄소 흡수","총채벌레, 깍지벌레",하,,"생장이 더딘 편이라 디시 가든(Dish garden), 테라리엄(Terrarium) 에서 많이 사용한다.","페페로니아속(Peperomia) 문제 발생시 ▶ 잎 끝과 가장자리가 갈색일 때: 기온이 갑자기 떨어질 경우로 손상된 잎을 제거. 식물을 창가 같이 바람을 바로 접하거나 추운 환경, 그리고 건조한 곳에 두는 것을 피함 ▶ 잎이 갑자기 시들 때: 토양에 수분이 부족할 때이므로 물을 충분히 관수함 ▶ 겨울에 갑자기 잎이 떨어질 때: 온도가 매우 낮을 때. 최소 10℃ 이상으로 유지 ▶ 잎이 시들고 변색될 때. 줄기나 잎이 썩을 때 및 잎 하단에 목질화가 될 때: 겨울철에 물을 너무 많이 줬을 경우. 물주는 횟수와 물양을 줄임",
콩고 필로덴드론(콩고),Philodendron 'Congo',Rojo Congo Philodendron,필로덴드론의 종류가 덩굴성이거나 지지대가 필요한 경우 가 많은데 이 식물은 웃자라지 않으면 스스로 잘 서있다. 보 통 실내에서 40cm까지 자라지만 조건이 맞으면 3m 정도로 크게 자란다. 해충이 잘 생기지 않는다. 독성이 있으므로 어린아이나 애완동물은 주의해야 한다.,"봄~가을에는 토양 표면이 말랐을 때 충분히 물을 주고, 겨울 에는 화분흙이 대부분 말랐을 때 충분히 물을 준다.","가지치기를 하지 않으면 웃자라 주변 식물에 영향을 준다. 반양지에서 키우는 것이 적당하며 오래된 잎은 노란색으로 되는데 자연스러운 현상이다. 단, 빛을 너무 많이 받으면 여 러 잎이 동시에 노란색으로 변하는데 이때는 위치를 바꿔줘 야 한다. 반대로 빛이 부족하면 웃자랄 수 있다. 배수에 신경을 써야 한다.",천남성과,21~25℃ (최저 13℃),반양지,보통,"공기정화, 이산화탄소 흡수","응애, 깍지벌레",하,수액에 독성 함유,,,
셀로움 필로덴드론,Philodendron bipinnatifidum,Tree Philodendron,갈라진 잎 모양이 조형적이고 크게 자라 넓은 공간에 단독 으로 놓아도 보기에 좋으며 관리도 쉬워 실내식물로 인기 가 높다. 성장하면서 목질화되고 관목형태가 된다. 다비성 식물이지만 과도한 비료로 너무 크게 자랄 수 있으니 적당 히 조정해준다. 반음지에 적당하지만 너무 어두우면 웃자라고 잎이 처질 수 있다. 수액에 독성이 있어 자른 단면이 피부에 닿지 않도록 조심 한다.,겨울을 제외하고는 촉촉한 편이 좋으나 과습에 주의한다. 토양표면이 마르면 물을 충분히 준다.,가지치기를 하지 않으면 웃자라 주변 식물에 영향을 준다. 화분에 뿌리가 꽉 차면 생장에 지장이 있으므로 더 큰 화분 으로 분갈이 한다.,천남성과,16~21℃ (최저 13℃),반음지,보통,"포름알데히드·일산화탄소 제거, 이산화탄소 감소, 상대습도 증가, 음이온 발생, 공기정화","진딧물, 깍지벌레",하,수액에 독성 함유,"가정에서 기르는 중간 크기의 식물로 포름알데히드 제거, 음이온 발생과 상대습도 향상에 도 움을 주어 공부방, 거실, 사무실 등 어디에 놓아도 잘 어울린다.",,
옥시카르디움 필로덴드론,Philodendron hederaceum,"Sweet heart plant, Heart-Leaf","잎이 하트모양으로 광택이 있으며, 잎의 길이가 20cm 길이 까지 크게 자랄 수 있다. 덩굴성 식물로 위로 키우려면 지주 대가 필요하고, 풍성하게 키우려면 정기적으로 덩굴 끝을 잘 라주고, 분무를 자주 한다. 필로덴드론속 식물 중에서 키우 기가 쉬운 편이며 병충해에 강하며, 빛이 희미해도 잘 자라 기 때문에 식물을 처음 키우는 사람에게 적합하다. 꺾꽂이로 번식이 잘 되며, 토양이나 수경재배 모두 잘 자란 다.","토양을 촉촉하게 관리하고, 겨울철에는 물주는 횟수를 줄인 다. 분무를 자주해주는 것이 좋고, 가끔씩 젖은 천으로 잎을 닦아 주는 것이 좋다.",온도가 낮고 과습할 경우 뿌리썩음병이 발생할 수 있다.,천남성과,14~21℃ (최저 13℃),반양지~반음지,낮거나 보통,"포름알데히드·벤젠 등 다양한 공기오염물질 제거, 음이온 발생, 상대습도 증가","응애, 깍지벌레",하,수액에 독성 함유,생장이 느린 식물로 걸이 화분에서 키우면 좋다.,"필로덴드론속(Philodendron) 문제 발생시 ▶ 잎의 가장자리에서 액이 나올 때 : 토양이 과습할 경우로 토양을 마르게 하고 물주는 주기를 늘림 ▶ 웃자라거나 작고 잎 색이 바랄 때 빛이 너무 적을 경우 (어두운 그늘에서 자라지 않음) ▶ 잎 뒷면의 갈색 반점 : 응애가 원인일 수 있음 ▶ 줄기가 썩어갈 때 : 줄기썩음병. 보통 겨울에 발생. 습기가 많고 온도가 낮을 때 활성화되는 곰팡이 때문임 식물을 살리려면 토양을 건조하고 따뜻하게 유지하고 분갈이함 ▶ 잎 끝과 가장자리가 얇아지고 건조하며 갈변될 때 : (1) 공기가 건조한 경우로 화분 주위와 잎에 분무함 (2) 뿌리가 화분에 꽉 차있을 때도 비슷한 증상을 보임 (3) 일반적으로 과습일 때 잎 끝이 갈변되고, 침수되었을 때 누렇게 됨 ▶ 누렇게 된 잎들 : (1) 많은 잎이 시들고 썩어, 식물 전체가 크게 영향을 받았다면 과습일 수 있음 (2) 시든 잎이 없으면 영양부족일 수 있음 (3) 하단의 잎만 영향을 받았거나, 잎에 갈색 반점이 있고, 새 잎이 작고 어두운 색을 띠고 있으면 물을 적게 주는 것이 원인일 수 있음 (4) 햇빛을 너무 많이 받았을 때 잎 색이 연해지고 누런 반점이 생김 ▶ 잎이 떨어질 때 : 해가 지남에 따라 가장 아래 잎이 떨어지는 것은 정상임. 비정상적으로 낙엽이 진다면, 항 상 위에 있는 잎에서 문제점을 확인해야 함. 잎들이 떨어지기 전에 갈변하고 건조하게 된 다면, 지나치게 따뜻해서임. 보통 겨울철 화분이 라디에이터 등의 전열기 근처에 있을 때 발생함",
돈나무,Pittosporum tobira,Australian laurel,"우리나라 남부 지방과 제주도의 바닷가 산지와 바위지대에 서 자생하는 돈나무는 상록 관목으로 물빠짐이 좋은 양지에 서 자란다. 5~6월 가지 끝에서 작은 흰색 꽃이 피는데 향기 가 좋고, 멀리까지 퍼지다 하여 '만리향'이라고 부르기도 한 다. 구형인 열매는 10~12월 황갈색으로 익는다. 높이가 보 통 2~3m까지 자라고 잎은 가지 끝에 모여 달리며 두꺼운 편이다. 돈나무는 열매에 파리 같은 곤충이 모여든다고 하여 제주 방 언으로 부르던 '똥낭(똥나무)'이 변한 것이라고 한다. 염분에 강해서 해안지방의 방풍림으로 사용되고 잎은 약용 이나 사료용으로 쓰인다.",봄~가을에는 토양 표면이 말랐을때 충분히 물을 주고 겨울 에는 화분흙이 대부분 말랐을때 충분히 물을 준다.,"조경수로 사용할 때는 반양지에서도 잘 자라지만 실내에서 기를 때에는 햇빛이 잘 드는 장 소에 배치한다. 빛이 부족할 경우 아래 잎이 떨어지고, 공중습도가 낮거나 토양이 건조하면 잎 가장자리가 뒤로 더 말린다.",돈나무과,15~25℃ (최저 0℃),양지,보통,"일산화탄소 제거, 상대습도 증가","응애, 깍지벌레",하,,가정에서 기를 때에는 햇빛이 잘 드는 거실이나 베란다에 배치하면 실내습도를 높일 수 있 다. 화훼장식에서 절지로 많이 활용하는 소재이다.,,
박쥐란,Platycerium bifurcatum,Common staghorn,"박쥐란은 열대 아프리카, 열대아시아 및 온대 오스트레일리 아 원산지의 착생식물로 전세계에 17여 종이 있다. 잎은 사슴 뿔 모양으로 아래로 늘어지는 혁질의 포자엽과 원형으로 편 평하고 기생역할을 하기 위해 나무에 밀착되어 있는 나엽으 로 나뉜다. 온도가 높으면 나엽의 발육이 나쁘게 되므로 밤 온도를 10℃ 정도 시원하게 유지한다. 통풍을 좋아하고 건조에 강하다. 번식은 분주나 포자로 번식한다.",과습하지 않도록 주의한다. 해고판이나 자연목 등에 부착시 켜 재배할 때는 나엽이 뿌리부분을 덮고 있으므로 그 뒷면 에 충분히 물을 준다. 분에 심을 경우는 나엽이 분을 덮어버리므로 화분을 주기적 으로 물에 담가 충분히 흡수시킨다.,직사광선을 피하고 잎에 자주 분무한다. 잎을 주기적으로 정리해 주변 식물 생장에 영향을 주지 않도록 한다.,봉의꼬리과,16~25℃ (최저 12℃),양지~반양지,높은편,미세먼지 제거,깍지벌레,상,,습도가 높은 환경을 좋아하므로 자주 분무한다. 건 조한 바람이 직접 식물에 닿으면 잎 끝이 누렇게 변 하므로 여름철에 에어컨 바람에 주의한다. 해고나 자연목에 붙여 실내 벽이나 높은 위치에서 두면 좋다,,
만병초,Rhododendron brachycarpum,Short-fruit rosebay,"만병초는 만가지 병을 고친다하여 붙여진 이름이다. 우리나 라 희귀 및 멸종위기 식물 16호이다. 경북 울릉도를 포함해 고산지대(지리산, 백두산, 한라산 등) 능선에서 자라는데, 햇 빛이 많이 들지 않고, 습도가 높은 곳에서 잘 자란다. 1~4m 정도 자라는 상록관목으로 잎은 어긋나게 달리고, 가지 끝 에는 5~7장이 붙어 난다. 6~7월에 가지 끝에 꽃이 피며, 9월 에 갈색으로 열매가 익는다. 정원, 분화 등으로 관상용으로 이용되며 잎은 약용으로 쓰인다. 만병초 잎에는 안드로메도 톡신이라는 유독성분이 함유되어 구토와 설사 등을 일으키 므로 주의한다. 배수가 잘되며 토심이 깊고 부식질이 많은 산성토양을 좋 아한다.","잔뿌리가 많아 흙이 완전히 건조하지 않게 관리하고, 토양표 면이 마르면 물을 준다.",품종에 따라 월동온도가 다르므로 일반적으로 0℃ 이상 되는 장소에서 관리한다.,진달래과,10~20℃ (최저 0℃),반음지~반양지,보통,"톨루엔 제거, 음이온 발생, 상대습도 증가, 이산화탄소 감소","엽고병, 갈반병, 녹병",상,식잎에 유독성분 함유,"실내에서 기를 때에는 햇빛을 가장 많이 받을 수 있는 공간, 거실이나 베란다에 놓는다. 새집 증후군의 원인물질인 톨루엔 제거능력이 국립 원예특작원에서 측정한 식물 중 가장 탁월하였 다. 음이온 발생량과 상대습도 증가량도 커서, 자생식물로써 공기정화 식물로 개발 가치가 높 은 식물이다.",,
아잘레아,Rhododendron spp.,"Belgian Azalea, Florist's Azalea","우리가 흔히 보는 아잘레아는 심스아잘레아(Rhododendron simsii, Indian Azalea)와 영산 홍(Rhododendron indicum, Japanese Azalea)에서 개량된 품종이 많고, 둘 다 약 30-50cm 정도의 왜성 관목으로 인기가 많다. 실내식물로 인기가 많은 심스아잘레아는 중국 중부지방 이 원산지이나 19세기 초에 유럽으로 건너가서 영국, 네덜란드, 벨기에 등에서 품종이 개량 되어, 1850년 벨기에의 한 요양소에서 실내식물로 처음 도입되었다. 품종개량을 통해 연중 어느 때나 꽃이 피어있는 아잘레아를 구입할 수 있는데 흰색, 분홍색, 빨간색, 그리고 2가지 색이 어우러진 다양하고 화려한 꽃을 가지는 변종들도 있다. 식물에 독성이 있으니 주의한다.","항상 토양을 촉촉하게 유지하고 공중습도를 높게 한다. 단, 꽃이 필 때 물을 적게 주고 분무 를 중단하는 것이 개화기간을 길게 한다.","가을에는 질소보다 인산성분이 많이 든 비료를 줘야 꽃이 풍성하고 보기 좋다. 꽃이 지면 즉시 제거하고, 시든 잎과 가지를 잘라낸 후 좀 더 큰 화분에 옮겨 그늘진 장소 에 둔다.",진달래과,10~24℃ (최저 5℃),반양지~반음지,높은편,"공기정화, 음이온 발생, 상대습도 증가","응애, 깍지벌레",중,식물 모든 부분,"아잘레아를 구입할 때 봉오리에 꽃 색이 비치고, 수량이 많 은 것으로 선택한다.","▶ 잎이 쪼글쪼글해지는 원인 : (1) 잎이 쪼그라들고 떨어지는 가장 큰 이유는 뿌리가 계속 눅눅할 때임 (2) 공중습도가 너무 적을 경우 (3) 온도가 높거나 햇빛을 너무 많이 받을 경우 ▶ 개화기가 짧을 때 : (1) 덥고 건조한 공기 때문임. 화분을 전열기 가까이 두지 말고, 매일 잎에 분무 (2) 햇빛을 너무 많이 받고 물을 너무 적게 줘도 꽃이 빨리 시듦 ▶ 노란 잎의 원인 : 물에 있는 석회 때문임",
스투키 산세베리아,Sansevieria stuckyi,Stuckyi,생명력이 강해 키우기 쉬우나 뿌리 활착이 안 된 상태로 판 매하는 경우가 많아 과습에 주의해야 한다. 제대로 키워보 려면 부채모양의 한 몸으로 되어있는 것을 구매하는 것이 좋다.,물을 거의 안주다시피 해야 한다. 대략 1~2개월에 한번 물을 주고 겨울에는 더욱 물을 줄인다.,과습에 주의한다. 물을 거의 주지 않는다.,백합과,18~27℃ (최저 10℃),"반양지 , 반음지, 음지",낮은편,"공기정화, 이산화탄소 흡수","응애, 깍지벌레, 총채벌레",하,,"다육식물, 난과 식물, 파인애플과 식물은 밤에 이산화탄소를 흡수하므로 햇빛이 잘 드는 침실에 두면 좋다",,
산세베리아 라우렌티,Sansevieria trifasciata var. Laurentii,"Snake Plant, Mother-in-law's tongue","형태가 독특하여 실내정원 등에서 함께 디자인하면 다른 식 물과 대조를 이루며 이색적인 연출을 할 수 있다. 관리가 쉬 우며, 병충해도 강하여 인기가 좋다. 영명으로 Mother-in-law's tongue(시어머니의 혀)라는 재 미있는 별명이 있는데 '불멸의 생명력'을 가졌다는 것을 의 미한다. 다육식물로 밤에 이산화탄소를 흡수하고 산소를 배 출한다. 70여 종의 다양한 품종이 있는데, 그 중 우리나라에 서 10여 종이 유통된다. 대표종으로 산세베리아 '라우렌티' 외에도 키 등이 크지 않는 성질을 가진 왜성종 라우렌티 콤 펙타(Laurentii Compacta) 등이 있다.","장소, 생육정도, 심은 재료에 따라 물주는 조건을 달리해야 하나 일반적으로 봄, 가을에는 흠뻑 주며, 여름철에는 물주 기를 늘리고 겨울철에는 물주기를 줄인다.",과습을 주의한다. 토양재배를 할 경우 매년 분갈이를 해 주는 것이 좋으나 수경재배 시 여 러 해 동안 분갈이를 하지 않고 기를 수 있다. 분갈이할 때 생장점이 다치지 않게 유의한다.,백합과,18~27℃ (최저 10℃),"반양지 , 반음지, 음지",낮은편,"공기정화, 이산화탄소 흡수","응애, 깍지벌레, 총채벌레",하,,"다육식물, 난과 식물, 파인애플과 식물은 밤에 이산화탄소를 흡수하므로 햇빛이 잘 드는 침 실에 두면 좋다.","산세베리아속(Sansevieria) 문제 발생시 ▶ 식물 기저부가 썩을 때. 잎이 노랗게 변하여 고사할 때 : 1) 뿌리썩음병으로 겨울에 너무 많은 물을 줄 때 발생 2) 기저부 전체가 썩으면 상단의 잎을 잘라내 잎꽂이를 하거나, 식물을 제거 3) 부분적으로 썩은 경우 화분에서 식물을 꺼내어 병든 부분을 절단. 자른 부분에 황가루 를 바르고 분갈이함 4) 건조하고 따뜻한 환경을 유지해줌 ▶ 물을 많이 주지 않았음에도 겨울에 기저부가 썩을 때의 원인: 냉해가 원인일 수 있음. 5℃ 이하의 온도는 산세베리아 생장에 치명적임. 겨울에 최소 10℃ 의 적정온도를 유지",
